CIP_Sample_Code	UCD_Sample_Code	UCD_Sample_Numeric	Non_inducer	Inducer	Monica_ploidy	KRA_Background_Ploidy	Monica_KRA_ploidy_concordant	KRA_aneuploidy_notes	Predicted_chrom_number	Parent_assoc_aneuploidy	Phureja_marker_phenotype	Other notes	numerical_aneuploidy	broken_chromosome
CIP315028.1	MM1	1	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.2	MM2	2	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.3	MM3	3	LR00014	PL4	2x	2x	TRUE	2x+6S.6L	25	non-inducer	NA	NA	numerical	.
CIP315028.4	MM4	4	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.5	MM5	5	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.7	MM6	6	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.8	MM7	7	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.9	MM8	8	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.10	MM9	9	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.11	MM10	10	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.12	MM11	11	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.13	MM12	12	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.14	MM13	13	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.15	MM14	14	LR00014	PL4	2x	2x	TRUE	2x+2S.2L	25	non-inducer	NA	NA	numerical	.
CIP315028.16	MM15	15	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.19	MM16	16	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.20	MM17	17	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.21	MM18	18	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.22	MM19	19	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.23	MM20	20	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.24	MM21	21	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.25	MM22	22	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.26	MM23	23	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.27	MM24	24	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.28	MM25	25	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.29	MM26	26	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.30	MM27	27	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.31	MM28	28	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.32	MM29	29	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.33	MM30	30	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.34	MM31	31	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.35	MM32	32	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.36	MM33	33	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.37	MM34	34	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.38	MM35	35	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.39	MM36	36	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315029.1	MM37	37	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.3	MM38	38	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
