Non_inducer	chrnum	n	Non_inducer_sum	ref
Superior	24	87	95	Pham et al (2019)
Superior	25	8	95	Pham et al (2019)
Alca Tarma	24	148	167	Amundson et al (2019)
Alca Tarma	25	19	167	Amundson et al (2019)
Konsuragis	24	264	281	Wagenvoort and Lange (1975)
Konsuragis	25	16	281	Wagenvoort and Lange (1975)
Konsuragis	26	1	281	Wagenvoort and Lange (1975)
Atzimba	24	219	227	Wagenvoort and Lange (1975)
Atzimba	25	8	227	Wagenvoort and Lange (1975)
Flava	24	192	205	Wagenvoort and Lange (1975)
Flava	25	11	205	Wagenvoort and Lange (1975)
Fortuna	24	118	125	Wagenvoort and Lange (1975)
Fortuna	25	7	125	Wagenvoort and Lange (1975)
Fram	24	98	110	Wagenvoort and Lange (1975)
Fram	25	11	110	Wagenvoort and Lange (1975)
Fram	26	1	110	Wagenvoort and Lange (1975)
Ultimus	24	89	100	Wagenvoort and Lange (1975)
Ultimus	25	11	100	Wagenvoort and Lange (1975)
Argo	24	84	94	Wagenvoort and Lange (1975)
Argo	25	9	94	Wagenvoort and Lange (1975)
Argo	26	1	94	Wagenvoort and Lange (1975)
Rode Star	24	85	93	Wagenvoort and Lange (1975)
Rode Star	25	7	93	Wagenvoort and Lange (1975)
Rode Star	26	1	93	Wagenvoort and Lange (1975)
Fransen	24	77	86	Wagenvoort and Lange (1975)
Fransen	25	9	86	Wagenvoort and Lange (1975)
Robijn	24	73	81	Wagenvoort and Lange (1975)
Robijn	25	8	81	Wagenvoort and Lange (1975)
Pimpernel	24	72	72	Wagenvoort and Lange (1975)
Pimpernel	25	6	72	Wagenvoort and Lange (1975)
Radosa	24	65	71	Wagenvoort and Lange (1975)
Radosa	25	6	71	Wagenvoort and Lange (1975)
