sample	unit	fq1	fq2	parhap
clean_458_dihaploids	KFRAG_01184	KFRAG_01184.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01184_b	KFRAG_01184_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01184_c	KFRAG_01184_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01268	KFRAG_01268.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01268_b	KFRAG_01268_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01268_c	KFRAG_01268_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01270	KFRAG_01270.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01270_b	KFRAG_01270_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01270_c	KFRAG_01270_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01271	KFRAG_01271.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01271_b	KFRAG_01271_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01271_c	KFRAG_01271_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01273	KFRAG_01273.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01273_b	KFRAG_01273_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_01273_c	KFRAG_01273_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00316	MM134_S22_L007_R1_001.fastq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00317	MM135_S23_L007_R1_001.fastq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00814	KFRAG_00814.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00814_b	KFRAG_00814_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00814_c	KFRAG_00814_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00890	KFRAG_00890.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00890_b	KFRAG_00890_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00890_c	KFRAG_00890_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00891	KFRAG_00891.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00891_b	KFRAG_00891_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00891_c	KFRAG_00891_c.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00892	KFRAG_00892.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00892_b	KFRAG_00892_b.fq.gz	NaN	haploid
clean_458_dihaploids	KFRAG_00892_c	KFRAG_00892_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01181	KFRAG_01181.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01181_b	KFRAG_01181_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01181_c	KFRAG_01181_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01182	KFRAG_01182.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01182_b	KFRAG_01182_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01182_c	KFRAG_01182_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00285	MM102_S89_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00286	MM103_S90_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00287	MM104_S91_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00288	MM105_S92_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00289	MM107_S93_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01256	KFRAG_01256.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01256_b	KFRAG_01256_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01256_c	KFRAG_01256_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01257	KFRAG_01257.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01257_b	KFRAG_01257_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01257_c	KFRAG_01257_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01258	KFRAG_01258.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01258_b	KFRAG_01258_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01258_c	KFRAG_01258_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01259	KFRAG_01259.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01259_b	KFRAG_01259_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01259_c	KFRAG_01259_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00290	MM108_S94_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01261	KFRAG_01261.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01261_b	KFRAG_01261_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01261_c	KFRAG_01261_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01262	KFRAG_01262.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01262_b	KFRAG_01262_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01262_c	KFRAG_01262_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01263	KFRAG_01263.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01263_b	KFRAG_01263_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01263_c	KFRAG_01263_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01264	KFRAG_01264.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01264_b	KFRAG_01264_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01264_c	KFRAG_01264_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01265	KFRAG_01265.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01265_b	KFRAG_01265_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01265_c	KFRAG_01265_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01266	KFRAG_01266.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01266_b	KFRAG_01266_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01266_c	KFRAG_01266_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01267	KFRAG_01267.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01267_b	KFRAG_01267_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01267_c	KFRAG_01267_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00291	MM109_S95_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00292	MM110_S96_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00293	MM111_S97_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00294	MM112_S98_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00295	MM113_S99_L008_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00296	MM114_S2_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00297	MM115_S3_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00298	MM116_S4_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00299	MM117_S5_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00300	MM118_S6_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00301	MM119_S7_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01373	KFRAG_01373.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01373_b	KFRAG_01373_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01373_c	KFRAG_01373_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01374	KFRAG_01374.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01374_b	KFRAG_01374_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01374_c	KFRAG_01374_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01375	KFRAG_01375.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01375_b	KFRAG_01375_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_01375_c	KFRAG_01375_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00302	MM120_S8_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00303	MM121_S9_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00304	MM122_S10_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00305	MM123_S11_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00306	MM124_S12_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00307	MM125_S13_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00308	MM126_S14_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00309	MM127_S15_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00310	MM128_S16_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00311	MM129_S17_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00312	MM130_S18_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00313	MM131_S19_L007_R1_001.fastq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00813	KFRAG_00813.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00813_b	KFRAG_00813_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00813_c	KFRAG_00813_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00869	KFRAG_00869.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00869_b	KFRAG_00869_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00869_c	KFRAG_00869_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00870	KFRAG_00870.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00870_b	KFRAG_00870_b.fq.gz	NaN	haploid
