UCD_Sample_Code	manual_fp	chrom	fp_notes
MM435	fp	chr12	
MM437	fp	chr12	
MM461	fp	chr12	
MM469	fp	chr12	
MM56	fp	chr12	
MM61	fp	chr12	
MM62	fp	chr12	
MM1175	fp	chr12	
MM1229	fp	chr12	
MM1230	fp	chr12	
MM286	fp	chr12	
MM67	fp	chr12	
MM68	fp	chr12	
MM77	fp	chr12	
MM80	fp	chr12	
MM89	fp	chr12	
MM585	fp	chr12	
MM614	fp	chr12	
MM142	fp	chr12	
MM153	fp	chr12	
MM154	fp	chr12	
MM1073	fp	chr12	
MM91	fp	chr12	
MM107	fp	chr12	
MM119	fp	chr12	
MM120	fp	chr12	
MM691	fp	chr12	
MM857	fp	chr12	
MM862	fp	chr12	
MM325	fp	chr12	
MM334	fp	chr12	
MM376	fp	chr12	
MM383	fp	chr12	
MM412	fp	chr12	
MM417	fp	chr12	
MM602	fp	chr12	
MM607	fp	chr12	
MM609	fp	chr12	
MM610	fp	chr12	
MM639	fp	chr12	
MM642	fp	chr12	
MM650	fp	chr12	
MM657	fp	chr12	
MM718	fp	chr12	
MM743	fp	chr12	
MM766	fp	chr12	
MM770	fp	chr12	
MM773	fp	chr12	
MM774	fp	chr12	
MM776	fp	chr12	
MM884	fp	chr12	
MM902	fp	chr12	
MM1017	fp	chr12	
MM1019	fp	chr12	
MM414	fp	chr12	
MM1232	fp	chr12	
MM324	fp	chr12	
MM422	fp	chr12	
MM715	fp	chr12	
MM719	fp	chr12	
MM747	fp	chr12	
MM761	fp	chr12	
MM897	fp	chr12	
MM432	fp	chr12	
MM442	fp	chr12	
MM96	fp	chr12	
MM1179	fp	chr12	
MM627	fp	chr07	mistyped hybrid
MM1141	fp	chr03	mistyped hybrid
MM319	fp	chr12
MM379	fp	chr12
MM464	fp	chr12
